County,AMI_100_4Person,60%,80%,100%,120%,150%,180%,200%
Clackamas County,124100,74460,99280,124100,148920,186150,223380,248200
Columbia County,124100,74460,99280,124100,148920,186150,223380,248200
Multnomah County,124100,74460,99280,124100,148920,186150,223380,248200
Washington County,124100,74460,99280,124100,148920,186150,223380,248200
Yamhill County,124100,74460,99280,124100,148920,186150,223380,248200
Benton County,117900,70740,94320,117900,141480,176850,212220,235800
Deschutes County,114300,68580,91440,114300,137160,171450,205740,228600
Hood River County,106900,64140,85520,106900,128280,160350,192420,213800
Clatsop County,96400,57840,77120,96400,115680,144600,173520,192800
Linn County,92700,55620,74160,92700,111240,139050,166860,185400
Marion County,92600,55560,74080,92600,111120,138900,166680,185200
Polk County,92600,55560,74080,92600,111120,138900,166680,185200
Jackson County,92400,55440,73920,92400,110880,138600,166320,184800
Lane County,91700,55020,73360,91700,110040,137550,165060,183400
Crook County,91300,54780,73040,91300,109560,136950,164340,182600
Wasco County,91300,54780,73040,91300,109560,136950,164340,182600
Lake County,88300,52980,70640,88300,105960,132450,158940,176600
Baker County,86000,51600,68800,86000,103200,129000,154800,172000
Morrow County,85900,51540,68720,85900,103080,128850,154620,171800
Jefferson County,84800,50880,67840,84800,101760,127200,152640,169600
Josephine County,84800,50880,67840,84800,101760,127200,152640,169600
Wallowa County,84500,50700,67600,84500,101400,126750,152100,169000
Sherman County,83700,50220,66960,83700,100440,125550,150660,167400
Douglas County,83600,50160,66880,83600,100320,125400,150480,167200
Tillamook County,83500,50100,66800,83500,100200,125250,150300,167000
Coos County,83100,49860,66480,83100,99720,124650,149580,166200
Gilliam County,82800,49680,66240,82800,99360,124200,149040,165600
Union County,82800,49680,66240,82800,99360,124200,149040,165600
Lincoln County,82600,49560,66080,82600,99120,123900,148680,165200
Curry County,81400,48840,65120,81400,97680,122100,146520,162800
Grant County,81400,48840,65120,81400,97680,122100,146520,162800
Harney County,81400,48840,65120,81400,97680,122100,146520,162800
Klamath County,81400,48840,65120,81400,97680,122100,146520,162800
Malheur County,81400,48840,65120,81400,97680,122100,146520,162800
Umatilla County,81400,48840,65120,81400,97680,122100,146520,162800
Wheeler County,81400,48840,65120,81400,97680,122100,146520,162800
